mc,la1,la2,la3,total,studentname
36,22,20,13,91,"student1"
28,17,19,4,68,"student2"
28,19,20,0,67,"student3"
24,18,9,0,51,"student4"
28,21,8.5,3,60.5,"student5"
32,21,9,3.5,65.5,"student6"
24,21,16,11.5,72.5,"student7"
36,25,20,12,93,"student8"
40,25,20,4.5,89.5,"student9"
32,25,20,13,90,"student10"
16,18,1.5,0,35.5,"student11"
32,25,20,13,90,"student12"
24,21,16,6.5,67.5,"student13"
28,23.5,20,2,73.5,"student14"
28,22,14,4.5,68.5,"student15"
36,25,20,3.5,84.5,"student16"
28,25,16,4,73,"student17"
32,20,20,0,72,"student18"
28,19,1,0,48,"student19"
28,25,20,4,77,"student20"
28,21,16.5,2,67.5,"student21"
32,20,8,4,64,"student22"
28,22,10,3.5,63.5,"student23"
32,21,17,7.5,77.5,"student24"
36,22,19,13.5,90.5,"student25"
28,25,20,13.5,86.5,"student26"
,,,,,"student27"
24,21,4,0,49,"student28"
36,25,20,8.5,89.5,"student29"
32,21,20,8,81,"student30"
32,22,17,4,75,"student31"
32,21,19.5,1,73.5,"student32"
40,25,15,4,84,"student33"
,,,,,"student34"
36,21,20,1,78,"student35"
36,21,20,1,78,"student36"
,,,,,"student37"
28,25,20,1.5,74.5,"student38"
32,22,20,11.5,85.5,"student39"
32,19,20,0,71,"student40"
28,21,16,3,68,"student41"
32,22,11.5,12.5,78,"student42"
,,,,,"student43"
16,21,11,0,48,"student44"
16,25,20,5,66,"student45"
36,16,3.5,0,55.5,"student46"
28,21,20,4,73,"student47"
36,21,20,7.5,84.5,"student48"
28,21,7,8.5,64.5,"student49"
32,21,20,1,74,"student50"
24,21,4.5,5,54.5,"student51"
40,21,20,0,81,"student52"
28,21,16,0,65,"student53"
